case,num,n lane change,greedy,nldp,dp,ndelay,gddelay,nldpdelay,dpdelay,nexec,gdexec,nldpexec,dpexec
06_40,8,401,295,274,280,202.04312499999995,145.21812499999993,136.3931249999999,137.73062499999995,0.00011086463928222656,0.0006859302520751953,0.0081939697265625,0.0484471321105957
06_40,9,406,301,287,284,207.68075000000005,154.2557500000001,150.4057500000001,147.28074999999993,0.00021195411682128906,0.0006489753723144531,0.00919198989868164,0.0944359302520752
06_40,10,414,296,292,301,218.86412499999992,154.90162499999994,153.93912499999993,162.81412500000002,0.00019598007202148438,0.00037288665771484375,0.008443117141723633,0.04477214813232422
06_60,1,550,405,361,380,251.99049999999994,178.87383333333335,159.01550000000003,167.00716666666662,0.000743865966796875,0.0006241798400878906,0.03743410110473633,0.09925079345703125
06_60,2,592,415,388,403,278.71283333333344,187.99616666666668,177.8628333333333,185.4045,0.00021505355834960938,0.0012030601501464844,0.028304100036621094,0.12349104881286621
06_60,3,536,400,368,373,252.60933333333338,175.7593333333333,160.2510000000001,161.1093333333333,0.0002028942108154297,0.0006418228149414062,0.020470142364501953,0.16455578804016113
06_60,4,574,422,381,382,273.5077499999998,192.14108333333326,170.1910833333333,164.88275000000004,0.0003960132598876953,0.0011839866638183594,0.027565956115722656,0.18167400360107422
06_60,5,544,400,367,378,247.08325000000008,173.5332500000001,163.83325000000005,169.81658333333328,0.0007369518280029297,0.0006270408630371094,0.03184103965759277,0.17899394035339355
06_60,6,543,392,378,389,265.4270000000001,182.377,170.852,175.8686666666667,0.0004169940948486328,0.0006201267242431641,0.024843931198120117,0.1737651824951172
06_60,7,567,388,371,381,258.5827499999999,170.51608333333328,159.2744166666666,164.23274999999992,0.0003991127014160156,0.0007050037384033203,0.03169512748718262,0.15456390380859375
06_60,8,562,395,373,377,271.12483333333324,177.27483333333336,171.69150000000002,171.13316666666668,0.00026702880859375,0.0006091594696044922,0.019581079483032227,0.12862324714660645
06_60,9,584,410,390,389,259.77491666666674,178.98324999999997,171.73324999999997,170.67491666666675,0.00021767616271972656,0.0006389617919921875,0.028697967529296875,0.12171101570129395
06_60,10,566,382,366,371,273.02166666666665,176.3883333333333,165.17166666666668,165.78833333333336,0.00021314620971679688,0.0006299018859863281,0.022773027420043945,0.11734390258789062
08_20,1,267,188,181,175,163.09675000000001,120.67175,112.52175000000003,110.39675,6.413459777832031e-05,0.00026226043701171875,0.0040340423583984375,0.019479990005493164
08_20,2,239,175,171,172,145.55725,112.15725,108.88224999999997,108.95724999999997,6.29425048828125e-05,0.00023984909057617188,0.003717184066772461,0.020462989807128906
08_20,3,243,180,175,174,147.3915,115.2165,116.2415,108.99150000000004,6.890296936035156e-05,0.000263214111328125,0.004056215286254883,0.020461082458496094
08_20,4,234,176,168,170,142.66900000000004,110.36900000000003,106.49400000000003,107.41900000000003,0.00011301040649414062,0.00028014183044433594,0.0021181106567382812,0.011579751968383789
08_20,5,252,183,177,179,158.52950000000004,120.15449999999998,115.95449999999997,117.32949999999998,7.200241088867188e-05,0.00025010108947753906,0.0039958953857421875,0.021432161331176758
08_20,6,231,188,185,184,139.10825000000006,113.98325000000007,113.13325000000002,112.63325000000005,8.559226989746094e-05,0.00024175643920898438,0.003489971160888672,0.018554210662841797
08_20,7,246,196,179,184,151.42574999999997,123.37575,114.67575,117.32575000000001,3.814697265625e-05,0.00015592575073242188,0.0037567615509033203,0.015082120895385742
08_20,8,248,186,181,180,150.55425000000008,116.87924999999998,113.15424999999998,112.15424999999998,6.198883056640625e-05,0.00015211105346679688,0.0036950111389160156,0.02084803581237793
08_20,9,249,190,168,171,148.074,119.874,107.349,108.199,7.104873657226562e-05,0.00027871131896972656,0.004003047943115234,0.019854068756103516
08_20,10,266,192,168,169,157.92599999999996,120.901,110.651,111.35099999999996,6.29425048828125e-05,0.00032210350036621094,0.0022389888763427734,0.021444082260131836
08_40,1,451,302,282,284,240.51024999999987,165.93524999999994,154.01024999999998,150.14774999999997,0.00021505355834960938,0.0006709098815917969,0.014333963394165039,0.06536006927490234
08_40,2,414,275,265,268,214.686625,150.47412500000004,145.91162500000002,142.97412500000004,0.00021576881408691406,0.0006558895111083984,0.016236066818237305,0.06442022323608398
08_40,3,445,305,297,299,235.64487500000013,166.469875,158.13237499999997,159.36987499999992,0.00020503997802734375,0.0006799697875976562,0.014199256896972656,0.06474065780639648
08_40,4,405,291,272,268,205.20950000000002,153.6595,146.50949999999995,142.43449999999996,0.00019216537475585938,0.0005590915679931641,0.011777877807617188,0.05761265754699707
08_40,5,395,293,289,292,215.18099999999998,153.56850000000003,152.11849999999998,154.406,0.00011205673217773438,0.0003559589385986328,0.009305953979492188,0.06550192832946777
08_40,6,414,305,281,282,220.74949999999995,162.72449999999998,152.1495,149.44949999999997,0.00010895729064941406,0.00034928321838378906,0.011237859725952148,0.04139590263366699
08_40,7,432,298,274,276,226.38837499999994,158.25087499999995,149.50087499999992,148.22587499999997,0.00025010108947753906,0.0006341934204101562,0.010825872421264648,0.04557204246520996
08_40,8,430,297,273,280,232.012625,164.45012499999996,150.26262499999999,151.2751250000001,0.00010609626770019531,0.00036597251892089844,0.012789011001586914,0.05286288261413574
08_40,9,411,290,285,285,219.09262499999994,151.56762500000002,149.36762500000003,148.017625,0.00010991096496582031,0.0006451606750488281,0.010925054550170898,0.061434268951416016
08_40,10,421,289,285,289,212.73587499999994,149.610875,147.42337500000002,149.08587500000004,0.0002880096435546875,0.00035500526428222656,0.01343679428100586,0.11343693733215332
08_60,1,602,385,384,393,292.04916666666657,184.17416666666665,184.92416666666668,189.49916666666667,0.00021505355834960938,0.0006341934204101562,0.04428386688232422,0.11043500900268555
08_60,2,583,394,375,385,285.7251666666667,188.22516666666667,176.70016666666672,183.50850000000005,0.00032806396484375,0.0012867450714111328,0.0206449031829834,0.10322785377502441
08_60,3,603,392,381,376,290.17566666666676,181.71733333333333,183.9923333333334,180.44233333333335,0.0003972053527832031,0.0006320476531982422,0.030256271362304688,0.15498018264770508
08_60,4,568,375,379,388,279.3419999999999,177.8419999999999,185.4669999999999,191.70866666666657,0.00021505355834960938,0.0006330013275146484,0.02208995819091797,0.12552285194396973
08_60,5,572,398,383,392,282.9789999999999,185.71233333333322,184.95400000000006,194.80399999999992,0.0004169940948486328,0.0012111663818359375,0.03715872764587402,0.15379905700683594
08_60,6,572,400,346,350,277.23625,193.08625000000004,175.5279166666666,178.43624999999994,0.00042510032653808594,0.0010960102081298828,0.025327682495117188,0.10497403144836426
08_60,7,592,390,372,385,293.27958333333356,187.62958333333344,182.84625000000008,187.04625000000013,0.0004172325134277344,0.0010249614715576172,0.032102108001708984,0.21861600875854492
08_60,8,602,388,376,382,300.809,188.60066666666668,185.94233333333327,188.6756666666666,0.00021791458129882812,0.0011022090911865234,0.01990485191345215,0.14397120475769043
08_60,9,582,398,370,373,280.094,186.794,178.344,178.6356666666666,0.00021505355834960938,0.0008111000061035156,0.03513669967651367,0.17148518562316895
08_60,10,600,400,374,366,297.8539166666668,195.4872500000001,188.31225000000015,179.72058333333345,0.00021123886108398438,0.0006132125854492188,0.03070378303527832,0.18490290641784668
