case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe,milp time,fcfs time,heuristic time
04_3_40,8,3_5,25.549999999999997,22.239999999999995,22.239999999999995,8.409999999999998,8.854444444444443,6.934444444444443,65,62,62,2.159062155087789,0.006302348772684733,0.007251191139221192
04_3_40,9,3_5,12.020000000000003,12.020000000000003,12.020000000000003,5.292105263157896,5.27842105263158,5.028947368421053,50,51,50,1.0665915568669637,0.0038940032323201497,0.0036617517471313477
04_3_40,10,3_5,25.21999999999999,25.07,25.21999999999999,10.243461538461537,10.020576923076922,9.829230769230767,63,65,60.01,1.5718695878982545,0.006480765342712402,0.006818787256876627
04_3_60,1,3_5,64.50999999999999,67.65,64.50999999999999,26.105737704918035,23.650983606557375,26.21065573770492,123,127,123,5.822316233317057,0.00877086321512858,0.010870695114135742
04_3_60,2,3_5,57.46000000000001,51.46000000000001,57.46000000000001,19.608840579710147,18.01768115942029,16.684927536231886,117,111,117,4.2482378323872885,0.011853679021199545,0.013044404983520507
04_3_60,3,3_5,57.010000000000005,51.65000000000001,57.010000000000005,20.76123076923077,22.331076923076925,20.63876923076923,116,109,116,5.032934149106343,0.011869017283121746,0.012262288729349773
04_3_60,4,3_5,69.81,63.86000000000001,69.81,26.261315789473684,24.968157894736844,25.811315789473685,129,123,129,3.9988096793492636,0.0129472017288208,0.013866249720255535
04_3_60,5,3_5,69.77000000000001,65.69,69.77000000000001,22.593291139240506,23.097721518987342,22.11151898734177,127,123.01,127,3.9156035502751667,0.015101766586303711,0.014664475123087566
04_3_60,6,3_5,44.62,46.62,44.459999999999994,15.747272727272724,17.90984848484848,14.760757575757573,104,106,103,3.5853403568267823,0.009467713038126628,0.010843833287556967
04_3_60,7,3_5,27.46,21.46,27.46,11.911153846153848,10.62269230769231,11.316153846153847,87,81,87,2.041814096768697,0.006151827176411947,0.006446290016174317
04_3_60,8,3_5,46.85999999999999,48.85999999999999,46.85999999999999,15.867096774193548,16.97790322580645,15.849032258064517,106,107,106,3.066790048281352,0.008446113268534342,0.008603898684183757
04_3_60,9,3_5,44.55000000000001,53.55000000000001,44.55000000000001,16.30136363636364,17.861969696969698,16.30136363636364,104,113,104,4.296028343836467,0.009818410873413086,0.01053150494893392
04_3_60,10,3_5,57.790000000000006,59.790000000000006,57.790000000000006,22.406533333333336,23.4048,22.01986666666667,117,119,117,6.050885065396627,0.016203824679056802,0.015352098147074382
06_3_20,1,3_5,12.88,12.88,12.88,5.899285714285714,5.9350000000000005,4.811428571428571,29,29,29,0.538748296101888,0.002629661560058594,0.003208621342976888
06_3_20,2,3_5,7.790000000000003,7.790000000000003,7.480000000000002,2.8968181818181824,2.8968181818181824,2.586363636363637,26,25.33,24,0.2934530337651571,0.0015497763951619467,0.0014394203821818034
06_3_20,3,3_5,13.950000000000003,13.950000000000003,13.430000000000001,4.923333333333333,4.923333333333333,5.5159259259259255,30,30,30,0.30382115046183267,0.003942561149597168,0.007319490114847819
06_3_20,4,3_5,18.450000000000003,18.450000000000003,14.630000000000003,7.656875,7.409375000000001,6.768125,37.06,37.06,31.36,0.6038282553354899,0.0031466960906982424,0.0027921120325724285
06_3_20,5,3_5,25.66,24.23,24.66,9.03,8.754444444444445,8.349722222222223,45.43,44,43.43,0.6890766859054566,0.004064130783081055,0.0038399378458658854
06_3_20,6,3_5,15.760000000000005,16.869999999999997,16.869999999999997,6.689354838709678,7.080645161290324,6.236129032258066,35,36,36,0.607000756263733,0.0027037143707275392,0.0029280344645182294
06_3_20,7,3_5,15.989999999999998,16.51,12.510000000000002,6.217499999999999,6.425,5.661428571428572,35.29,35,31,0.6181831598281861,0.0026724974314371744,0.005249865849812825
06_3_20,8,3_5,18.720000000000006,18.720000000000006,16.490000000000002,7.050312500000001,6.972187500000001,6.5803125,38.370000000000005,38.370000000000005,35,0.629419740041097,0.0031204462051391602,0.002976791063944499
06_3_20,9,3_5,9.760000000000002,9.760000000000002,8.940000000000001,3.866666666666667,3.9350000000000005,4.0566666666666675,27.58,27.58,26,0.40082379976908367,0.0019439697265625,0.0018871307373046875
06_3_20,10,3_5,14.61,13.61,13.61,4.631724137931035,4.718620689655172,4.196551724137931,34,33,33,0.7171571413675945,0.002689512570699056,0.002361305554707845
06_3_40,1,3_5,39.58,33.89,38.42,14.52981818181818,14.861090909090908,14.307818181818181,77,73,73,2.5034426927566527,0.007683356602986653,0.007374127705891927
06_3_40,2,3_5,38.7,38.7,35.7,17.246060606060606,15.728484848484849,14.28469696969697,78,78,75,1.778602385520935,0.015075914065043132,0.014508255322774251
06_3_40,3,3_5,50.39,47.01,50.39,19.538548387096775,19.843709677419355,18.408225806451615,89,87,89,2.9503068288167316,0.010045647621154785,0.010776726404825847
06_3_40,4,3_5,34.56,34.56,27.93,13.136949152542373,14.7564406779661,11.55135593220339,73.38,71,67,1.631907041867574,0.009104069073994954,0.01241474946339925
06_3_40,5,3_5,28.29,29.29,28.29,13.547999999999998,12.984363636363636,11.683454545454545,67,67.35,67,1.415738582611084,0.006275200843811035,0.006335250536600749
06_3_40,6,3_5,47.55,45.55,47.55,15.428888888888888,15.256190476190476,13.778412698412698,87,85,87,2.312709641456604,0.010275689760843913,0.010654115676879882
06_3_40,7,3_5,45.01,43.76,40.55,17.880327868852458,18.75032786885246,17.603770491803278,82,81,79,3.3084673643112184,0.008546574910481771,0.010157243410746256
06_3_40,8,3_5,33.13,35.220000000000006,33.13,15.33084745762712,15.703728813559323,13.146440677966103,73,74,73,2.4208046913146974,0.0077997287114461265,0.007654921213785807
06_3_40,9,3_5,41.760000000000005,42.760000000000005,41.760000000000005,17.625820895522388,18.022238805970147,16.21014925373134,81,82,81,1.7466536045074463,0.010732555389404297,0.011616349220275879
06_3_40,10,3_5,43.11000000000001,38.11000000000001,43.11000000000001,17.661911764705884,16.189852941176472,17.51485294117647,83,78,83,2.465174674987793,0.013666033744812012,0.0123504638671875
06_3_60,1,3_5,84.03999999999999,81.03999999999999,84.03999999999999,29.80922222222222,27.86722222222222,28.976333333333333,144,141,144,5.837093448638916,0.023532668749491375,0.022049427032470703
06_3_60,2,3_5,85.32,92.32,85.32,33.29869047619047,33.48916666666667,32.740833333333335,145,152,145,5.104206458727519,0.01718318462371826,0.019542320569356283
06_3_60,3,3_5,84.62,84.44,84.62,27.236741573033708,27.63561797752809,27.22550561797753,144.18,144,144.18,4.719717478752136,0.020110940933227538,0.018355345726013182
06_3_60,4,3_5,74.47,62.46999999999999,74.47,27.69255813953488,25.336976744186043,25.341744186046512,134,122,134,4.319802649815878,0.019287904103597004,0.017690563201904298
06_3_60,5,3_5,118.59,115.66,118.59,41.84196078431373,41.70470588235294,41.64058823529412,177,174,177,4.602472392717997,0.02442798614501953,0.025034427642822266
06_3_60,6,3_5,65.41999999999999,64.58,65.41999999999999,28.36186813186813,27.076153846153844,25.887032967032965,125,124,125,4.351112365722656,0.01827548344930013,0.01992812951405843
06_3_60,7,3_5,95.89000000000001,95.89000000000001,95.89000000000001,38.37922330097088,39.50067961165048,32.896504854368935,155,155,155,3.6854459126790364,0.025558082262674968,0.026169784863789878
06_3_60,8,3_5,99.67999999999999,106.67999999999999,99.67999999999999,35.03010638297872,32.897340425531915,34.77031914893617,159,166,159,4.521875969568888,0.02217678229014079,0.020261780420939127
06_3_60,9,3_5,78.52,77.52,75.75,29.1459375,28.009270833333332,28.906354166666663,138,137,134,4.918513131141663,0.02610166072845459,0.022632400194803875
06_3_60,10,3_5,86.9,73.24000000000001,86.9,34.14831683168317,32.951980198019804,31.383069306930693,146,132.25,146,5.399181000391642,0.02685708999633789,0.027629446983337403
