case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe
08_3_20,7,3_5,20.450000000000003,20.450000000000003,20.450000000000003,9.1553125,9.1553125,8.6540625,37,37,36
08_3_20,8,3_5,26.480000000000004,26.480000000000004,26.480000000000004,9.927857142857144,9.927857142857144,9.475476190476192,46.31,46.31,46.31
08_3_20,9,3_5,24.5,24.5,24.129999999999995,11.187317073170732,11.187317073170732,10.966829268292683,44,44,43.629999999999995
08_3_20,10,3_5,30.769999999999996,30.769999999999996,27.219999999999995,14.312727272727273,14.312727272727273,12.89840909090909,47.769999999999996,47.769999999999996,46.769999999999996
08_3_40,1,3_5,49.900000000000006,49.900000000000006,47.900000000000006,17.99527777777778,17.99527777777778,16.921805555555558,89.17,89.17,87.17
08_3_40,2,3_5,35.690000000000005,35.690000000000005,29.4,14.21952380952381,14.297460317460319,13.923333333333334,74.28,74.28,68.28
08_3_40,3,3_5,37.88000000000001,37.88000000000001,36.12,16.249014084507042,16.249014084507042,14.859154929577464,77.21000000000001,77.21000000000001,76
08_3_40,4,3_5,48.239999999999995,48.239999999999995,43.150000000000006,19.712207792207792,19.783116883116882,17.197792207792208,87.03,87.61,82.03
08_3_40,5,3_5,52.53,52.53,45.49000000000001,21.640253164556963,21.640253164556963,19.529367088607597,92,92,84
08_3_40,6,3_5,49.300000000000004,49.300000000000004,43.0,19.77236842105263,19.719736842105263,18.50842105263158,88,88,82
08_3_40,7,3_5,48.62999999999999,48.62999999999999,45.62999999999999,19.272297297297293,19.305675675675673,16.786351351351346,88.00999999999999,88.00999999999999,84.00999999999999
08_3_40,8,3_5,44.009999999999984,44.009999999999984,41.85999999999999,18.246086956521737,18.246086956521737,16.151884057971014,81.75999999999999,81.75999999999999,80.75999999999999
08_3_40,9,3_5,62.519999999999996,62.519999999999996,60.779999999999994,24.6776404494382,24.6776404494382,24.464831460674155,102,102,100
08_3_40,10,3_5,55.72000000000001,55.72000000000001,49.230000000000004,23.861686746987953,23.861686746987953,20.902409638554218,94.82,94.82,89
08_3_60,1,3_5,74.39,74.39,68.39,32.98888888888889,32.509743589743586,29.547521367521366,134,134,127
08_3_60,2,3_5,70.03999999999999,70.03999999999999,67.39999999999999,29.693749999999998,29.64910714285714,27.355267857142856,129,129,127
08_3_60,3,3_5,62.730000000000004,63.910000000000004,61.33,27.21623853211009,27.31348623853211,23.046697247706422,122,122,120.16
08_3_60,4,3_5,75.75,75.75,74.16,32.11725,32.014916666666664,30.776916666666665,135,135,132
08_3_60,5,3_5,63.029999999999994,63.029999999999994,55.64,28.19570093457944,28.208130841121495,25.252616822429903,123,123,115
08_3_60,6,3_5,80.49999999999999,80.49999999999999,76.49999999999999,36.133680000000005,35.702,31.13392,140.26999999999998,140.26999999999998,136.26999999999998
08_3_60,7,3_5,72.61999999999999,72.61999999999999,72.47999999999999,32.792782608695646,32.792782608695646,29.399391304347823,131,131,132
08_3_60,8,3_5,77.59,77.59,66.98,33.31377192982456,33.31377192982456,29.015087719298247,136,136,126.52
08_3_60,9,3_5,77.23,75.07000000000002,67.49000000000001,34.26205128205128,34.815384615384616,28.221623931623935,135.0,133.46,127.46000000000001
08_3_60,10,3_5,61.690000000000005,61.690000000000005,59.690000000000005,26.73719626168224,26.718504672897193,22.98616822429906,121.08,121.08,119
04_4_20,1,4_5,12.830000000000002,12.830000000000002,7.780000000000001,4.268064516129032,4.268064516129032,2.846129032258065,31,31,27
04_4_20,2,4_5,12.240000000000002,12.240000000000002,7.510000000000002,4.104516129032259,4.104516129032259,3.491935483870968,30.05,30.05,24.96
04_4_20,3,4_5,7.77,7.77,6.620000000000001,2.5676923076923077,2.5676923076923077,2.2865384615384614,25.53,25.53,23.53
04_4_20,4,4_5,9.11,9.11,10.86,3.229655172413793,3.229655172413793,3.288965517241379,28,28,25
04_4_20,5,4_5,2.6799999999999997,3.8599999999999994,12.08,0.8179999999999995,1.0513333333333328,2.311333333333333,21.32,22.32,25
04_4_20,6,4_5,10.16,10.16,8.4,3.429655172413793,3.429655172413793,2.816551724137931,27,27,25
04_4_20,7,4_5,15.14,15.14,11.12,4.926857142857144,4.926857142857144,4.208571428571429,34.31,34.31,28.5
04_4_20,8,4_5,8.440000000000001,8.440000000000001,8.440000000000001,2.321,2.321,2.1205000000000003,23.21,23.21,23.21
04_4_20,9,4_5,15.41,15.41,15.41,5.5303125,5.5303125,4.9184375,31.5,31.5,29.5
